id,question_id,answer_id,answerer_email, date_written, answerer_name,answer_body,  answer_reported,answer_helpful
42,8,16,Rico.Upton@Davis.info,2010-04-27,Arnoldo,Repellendus quibusdam quia asperiores deleniti.,8,12
43,19,7,Camron_Hayes@hotmail.com,1996-07-15,Dylan,Enim non laudantium repellat neque.,4,3
44,3,16,Turcotte_Brant@White.com,1971-04-25,Agustina,Est ratione quia harum impedit officia ut sint eveniet.,5,12
45,20,4,Natalia_Grimes@Tyree.tv,1971-03-25,Valentina,Dolores architecto atque facilis at.,2,6
46,1,17,Trinity_Towne@Joel.info,1999-02-02,Tad,Et aperiam blanditiis quia voluptas qui placeat tempore.,3,8
47,14,18,Paul.Koss@Bosco.biz,1997-06-04,Lorena,Aut in quo exercitationem ipsum impedit architecto optio numquam.,4,2
48,5,5,Bert.Schinner@Carolina.name,1970-09-23,Hank,Blanditiis perferendis in vero soluta rem.,4,8
49,14,10,Elton.Willms@Alfreda.org,1970-01-19,Modesta,Consequatur ut enim nobis voluptatibus.,11,12
50,19,1,Spinka.Cade@Ernser.co.uk,1999-09-30,Tyson,Voluptates dolorem voluptas qui et minima velit.,4,4
51,15,3,Jaylon_Pfeffer@yahoo.com,1989-02-06,Boris,In officiis officiis itaque enim tempore atque.,6,4
52,0,19,Avery_Wyman@Tabitha.net,1975-11-02,Jody,Quo tempore dignissimos hic quaerat corrupti.,4,12
53,12,13,Thiel.Dwight@yahoo.com,1993-05-23,Austen,Ut illum distinctio quae at debitis voluptates et nemo.,11,4
54,12,14,Zechariah.Schaefer@gmail.com,2009-04-14,Lonny,Sit eveniet eius numquam molestiae.,10,7
55,14,4,Reva_Schuppe@Lavon.name,2014-01-20,Anissa,Omnis explicabo esse quo eligendi aperiam ipsa.,5,10
56,0,13,Marvin_Arvel@Margarete.org,2009-04-01,Kari,Aut voluptatem aut voluptatibus impedit at.,11,6
57,9,11,Barry.Lind@gmail.com,1970-01-28,Joyce,Perspiciatis corrupti praesentium voluptatum nobis.,3,2
58,15,11,Norbert_Mueller@Cara.org,1975-09-28,Lucy,Eveniet laudantium enim vel possimus magnam exercitationem officiis.,6,3
59,4,1,Mosciski.Dorothea@hotmail.com,1982-10-15,Eliseo,Ipsam voluptatibus consectetur et laborum.,7,8
60,6,2,Strosin_Jerrod@hotmail.com,1992-04-05,Megane,Expedita saepe quod similique molestiae ex sint ipsa.,9,11
61,14,2,Hessel_Cory@Dare.biz,1986-07-01,Herminio,Deleniti vitae fugit modi doloribus dolorem non.,6,3
62,0,8,Eveline.McClure@Godfrey.biz,2003-11-29,Cara,Amet impedit possimus.,11,4
63,9,15,Shakira.Langosh@Kuvalis.ca,2005-01-23,Camden,Non beatae aut nostrum voluptatem.,12,6
64,15,9,Dooley.Berniece@gmail.com,1996-12-22,Clarissa,Qui qui velit dicta enim laboriosam debitis et.,12,12
65,0,10,Runolfsdottir.Walter@Jeremy.net,1993-10-30,Zoila,Aut delectus omnis labore quam quis.,1,1
66,1,15,Grimes.Antonio@gmail.com,2013-02-06,Sven,Optio voluptates possimus sapiente nisi.,6,8
67,19,0,Albin.Pouros@gmail.com,2001-01-23,Eunice,Ut soluta autem qui dolore.,3,8
68,10,9,Braulio_Smith@Labadie.info,1984-05-14,Amalia,Sint officiis quibusdam qui atque omnis aut ab.,10,9
69,1,12,Dach_Dino@yahoo.com,1981-08-14,Llewellyn,Optio voluptatem fugiat sit sequi est enim.,6,2
70,4,9,Kaleb.Wisoky@Maxine.net,2013-05-19,Chester,In et hic.,12,3
71,10,16,Jolie_Brown@gmail.com,2001-04-08,Pearlie,Qui incidunt perspiciatis consequatur nobis totam qui.,11,9
72,1,5,Baumbach.Katlyn@yahoo.com,1999-03-30,Genoveva,Aliquid voluptas omnis cumque totam velit assumenda.,10,10
73,12,3,Karelle_Bednar@Parker.biz,2005-03-11,Haylee,Et quisquam dolorem dolores molestiae perspiciatis ut sit iure enim.,11,11
74,14,7,River_Bartell@gmail.com,1993-04-05,Abel,Id magnam iure suscipit suscipit.,10,5
75,12,12,Morissette_Jesse@hotmail.com,1971-05-18,Newell,Dolorum voluptates necessitatibus at omnis.,1,7
76,9,16,Giles.Hahn@gmail.com,2005-04-25,Hortense,Distinctio et perferendis assumenda repudiandae voluptas.,8,10
77,6,1,Ed.Effertz@yahoo.com,2001-10-03,Kristin,Molestiae nostrum omnis et amet quam necessitatibus laudantium qui.,12,6
78,9,12,Dorcas.Hilll@Abby.net,1995-11-15,Jarred,Perferendis quia quis ex cumque praesentium aut.,3,11
79,20,0,Kozey_Saul@gmail.com,2003-03-26,Clemmie,Veritatis rerum id aut est mollitia rerum.,8,9
80,17,10,Delmer.Harber@hotmail.com,1972-12-18,Adaline,Omnis nesciunt expedita voluptatem.,6,6
81,7,20,Gorczany.Mathew@Emmet.info,1995-03-09,Geovany,Ut qui dignissimos ab quia et sed.,11,4
82,14,13,Enrico_Denesik@yahoo.com,1997-04-19,Cesar,Non est ullam vero.,9,7
83,11,0,Valerie.Abshire@Roosevelt.info,1998-09-07,Samara,Ut voluptatem rerum ea vel id qui hic sit rem.,3,5
84,20,4,Ted.Dicki@Hilll.us,1999-11-26,Syble,Reiciendis voluptatibus doloribus qui suscipit enim blanditiis sit.,6,9
85,16,1,Kayley_Schuppe@Dietrich.io,1980-03-05,Gertrude,Alias atque dolor fugit.,12,1
86,1,6,Johnathon.Treutel@Powlowski.biz,1978-04-09,Dayton,Odio perferendis eveniet id iure non quisquam eveniet.,3,1
87,4,19,Kertzmann_Sedrick@Viviane.info,2006-02-12,Macy,Ea optio est et in non omnis quia.,1,1
88,5,8,Audra_Schmitt@Harris.me,1978-02-16,Bernita,Nostrum nesciunt hic quos voluptatibus quis sed neque.,9,1
89,19,12,Pedro.Dibbert@gmail.com,1980-12-14,Chelsea,Ut assumenda harum.,6,5
90,11,11,Darien.Cole@Simonis.biz,1972-09-10,Cathryn,Debitis libero suscipit deserunt ut in unde quia.,2,11
91,9,18,Jacobi_Pink@yahoo.com,1975-08-23,Samara,Explicabo minima maxime perferendis temporibus harum omnis esse in.,7,6
92,20,16,Adrianna.Wilkinson@yahoo.com,1985-10-18,Mariano,Deserunt dolore perferendis qui.,3,8
93,9,3,Verner_Erdman@Molly.co.uk,2009-12-18,Angeline,Nesciunt in velit nam.,4,10
94,13,7,Armstrong_Moises@Grady.co.uk,1981-04-28,Monroe,Est quidem dicta consequatur.,11,9
95,7,18,Walker.Ronaldo@yahoo.com,1983-10-11,Manley,Temporibus debitis sunt voluptatem.,12,5
96,10,7,Mosciski.Michelle@yahoo.com,2005-06-13,Judge,Magni voluptatem dolor consectetur autem blanditiis.,5,11
97,13,12,Erna_Nicolas@hotmail.com,2010-11-11,Melvina,Autem consectetur corrupti dolorum id ea.,1,3
98,19,3,Marvin.Berenice@yahoo.com,1970-04-01,Shawna,Eveniet voluptatem mollitia reiciendis laboriosam.,2,5
99,3,6,Emil_Conroy@gmail.com,1995-06-08,Alana,Sed animi nulla reprehenderit aut illo et.,9,1
